ID,Tên công việc,Mô tả,ID lĩnh vực,Loại công việc,Loại lương,Yêu cầu
3038,TVC Quảng Cáo Nhẫn Cưới/ Cầu Hôn,"<p>Cần 1 kịch bản TVC dạng phim ngắn 1 ph&uacute;t quảng c&aacute;o về sản phẩm trang sức nhẫn cưới/ nhẫn cầu h&ocirc;n</p>
",1034,1,2,"<p>Ngoại h&igrave;nh ưa nh&igrave;n, cao tr&ecirc;n 1m8</p>
"
3039,Trợ lý từ xa,"<p>T&igrave;m trợ l&yacute; từ xa, c&aacute;c c&ocirc;ng việc chủ yếu li&ecirc;n quan đến tổng hợp, thu thập, t&oacute;m tắt th&ocirc;ng tin, viết b&aacute;o c&aacute;o về c&aacute;c chủ đề m&ocirc;i trường, n&ocirc;ng nghiệp, biến đổi kh&iacute; hậu, ph&aacute;t triển bền vững, ...</p>
",1038,2,1,"<p>C&oacute; kinh nghiệm với lĩnh vực li&ecirc;n quan</p>
"
3040,Quản lý blog,"<p>T&igrave;m t&agrave;i liệu ph&aacute;p luật, tin tức li&ecirc;n quan cho blog</p>
",1035,2,1,"<p>Kh&ocirc;ng y&ecirc;u cầu kinh nghiệm</p>
"
3041,Chụp ảnh sự kiện tại Hà Nội,"<p>B&ecirc;n m&igrave;nh cần tuyển 1 bạn chụp h&igrave;nh sự kiện trao bằng ng&agrave;y 01/07/2024 từ 13:30-15:30 tại Ho&agrave;n Kiếm, H&agrave; Nội.</p>
",1035,1,2,"<p>C&oacute; kinh nghiệm chụp ảnh</p>
"
3042,Tìm freelancer chụp ảnh Hội thảo PVN tại TP.Hồ Chí Minh ,"<p>chụp sự kiện cho 130 người từ 13h00 đến 17h00 v&agrave; l&agrave;m 1 cjip ngắn 5 -10p - chụp gala 18h30 đến 20h</p>
",1035,1,2,"<p>C&oacute; kinh nghiệm chụp ảnh</p>
"
3043,Viết phần mềm đăng ký mua vàng online,"<p>T&ocirc;i muốn viết phần mềm đăng k&yacute; mua v&agrave;ng online (sử dụng phương thức http request). Trong đ&oacute;, c&oacute; c&aacute;c chức năng như: đăng k&yacute; nhiều t&agrave;i c&ugrave;ng l&uacute;c, c&oacute; chức năng hẹn giờ thực hiện, c&oacute; thể lặp lại hoạt động đăng k&yacute; sau khoảng thời gian n&agrave;o đ&oacute;</p>
",1030,1,2,"<p>Tốt nghiệp cao đẳng trở l&ecirc;n</p>
"
3044,Tuyển lập trình VueJS + Strapi,"<p>Cần tuyền 1 bạn Frontend Dev mid-level, l&agrave;m việc freelance + remote, tham gia team startup b&ecirc;n m&igrave;nh.</p>
",1030,2,1,"<p>Y&ecirc;u cầu c&oacute; 1-2 năm kinh nghiệm l&agrave;m việc với VueJS&nbsp;</p>
"
3045,Tìm bạn nào giỏi về vi phạm chính sách Facebook + phần mềm Facebook giúp mình quản lý group fanpage bằng phần mềm ,"<p># Tuyển Dụng: Chuy&ecirc;n Vi&ecirc;n Quảng C&aacute;o Facebook</p>
",1035,2,1,"<p>- C&oacute; tr&ecirc;n 1 năm kinh nghiệm chạy quảng c&aacute;o trong ng&agrave;nh cờ bạc (T&agrave;i Xỉu, Xổ Số, B&oacute;ng Đ&aacute;).</p>

<p>- Quen thuộc với nhiều loại quảng c&aacute;o v&agrave; c&oacute; khả năng chạy đa dạng c&aacute;c loại h&igrave;nh quảng c&aacute;o.</p>

<p>- Kỹ năng giải quyết c&aacute;c vấn đề như t&agrave;i khoản chết, chi ph&iacute; cao v&agrave; c&aacute;c kh&oacute; khăn kh&aacute;c trong qu&aacute; tr&igrave;nh chạy quảng c&aacute;o.</p>

<p>- Am hiểu c&aacute;ch l&aacute;ch c&aacute;c quy định về quảng c&aacute;o vi phạm ch&iacute;nh s&aacute;ch ng&agrave;nh cờ bạc.</p>

<p>## Tr&aacute;ch Nhiệm C&ocirc;ng Việc</p>

<p>1. **Điều Phối v&agrave; Chuẩn Bị T&agrave;i Liệu Quảng C&aacute;o**:</p>

<p>- Chịu tr&aacute;ch nhiệm điều phối v&agrave; chuẩn bị t&agrave;i liệu quảng c&aacute;o.</p>

<p>- Theo d&otilde;i kịp thời hiệu quả của t&agrave;i liệu quảng c&aacute;o.</p>

<p>- Tối ưu h&oacute;a li&ecirc;n tục v&agrave; thường xuy&ecirc;n tổng kết kết quả chạy quảng c&aacute;o.</p>

<p>2. **Quản L&yacute; Chạy Quảng C&aacute;o H&agrave;ng Ng&agrave;y**:</p>

<p>- Quản l&yacute; v&agrave; đảm bảo chạy quảng c&aacute;o ch&iacute;nh x&aacute;c h&agrave;ng ng&agrave;y.</p>

<p>- Theo d&otilde;i hiệu quả v&agrave; kịp thời tối ưu h&oacute;a quảng c&aacute;o.</p>

<p>3. **Ph&acirc;n T&iacute;ch Hiệu Quả C&aacute;c K&ecirc;nh Quảng C&aacute;o**:</p>

<p>- Thường xuy&ecirc;n tiến h&agrave;nh ph&acirc;n t&iacute;ch tổng thể về hiệu quả của c&aacute;c k&ecirc;nh chạy quảng c&aacute;o.</p>

<p>- Tối ưu h&oacute;a kế hoạch quảng c&aacute;o dựa tr&ecirc;n kết quả ph&acirc;n t&iacute;ch dữ liệu để n&acirc;ng cao hiệu quả quảng c&aacute;o.</p>

<p>---</p>

<p>Nếu bạn l&agrave; người đam m&ecirc; v&agrave; c&oacute; kinh nghiệm trong lĩnh vực n&agrave;y, h&atilde;y gửi hồ sơ của bạn cho ch&uacute;ng t&ocirc;i!</p>
"
3046,"Cần tìm Freelancer thiết kế website, gian hàng trên sàn TMĐT cho lĩnh vực bánh nhập từ Trung Quốc","<p>Ch&agrave;o c&aacute;c bạn Freelancer,</p>

<p>M&igrave;nh b&aacute;n b&aacute;nh ngọt nhập khẩu trung quốc với nước &eacute;p tr&aacute;i c&acirc;y đ&oacute;ng chai n&ecirc;n cần t&igrave;m freelancer thiết kế website với x&acirc;y dựng cửa h&agrave;ng tr&ecirc;n shoppee với tiktok.</p>

<p>C&ocirc;ng việc cụ thể như sau: Trang chủ, gian h&agrave;ng, mua h&agrave;ng, thanh to&aacute;n &hellip; tr&ecirc;n website v&agrave; s&agrave;n thương mại điện tử.</p>

<p>C&acirc;c bạn inbox để trao đổi chi tiết hơn ạ</p>
",1030,1,2,"<p>C&oacute; kinh nghiệm l&agrave;m phần mềm thương mại điện tử</p>
"
3047,Tạo video quảng cáo và đăng lên các nền tảng mạng xã hội Thị trường Mỹ ,"<p>Ch&uacute;ng t&ocirc;i đang t&igrave;m kiếm một TikToker, Facebooker, Youtuber tại thị trường Mỹ để tạo v&agrave; đăng tải video quảng c&aacute;o trải nghiệm ứng dụng DrawingEZ. Mục ti&ecirc;u l&agrave; thu h&uacute;t người d&ugrave;ng mới tải ứng dụng. Nếu bạn c&oacute; t&agrave;i khoản TikToker, Facebooker, Youtuber với lượng người theo d&otilde;i lớn v&agrave; kỹ năng s&aacute;ng tạo nội dung, h&atilde;y hợp t&aacute;c với ch&uacute;ng t&ocirc;i để giới thiệu ứng dụng vẽ độc đ&aacute;o n&agrave;y!</p>
",1035,2,2,"<p>T&agrave;i khoản TikToker, Facebooker, Youtuber thuộc thị trường Mỹ với lượng người theo d&otilde;i lớn v&agrave; tương t&aacute;c tốt.</p>

<p>C&oacute; kinh nghiệm tạo nội dung quảng c&aacute;o hoặc trải nghiệm sản phẩm.</p>

<p>Khả năng s&aacute;ng tạo video độc đ&aacute;o, hấp dẫn, v&agrave; tương t&aacute;c cao với người xem.</p>

<p>Quan t&acirc;m đến ứng dụng vẽ hoặc c&aacute;c nội dung li&ecirc;n quan đến s&aacute;ng tạo.</p>

<p>Tr&aacute;ch nhiệm:</p>

<p>Tạo v&agrave; đăng video trải nghiệm ứng dụng DrawingEZ, hướng dẫn người d&ugrave;ng tải v&agrave; sử dụng app.</p>

<p>Sử dụng chiến lược s&aacute;ng tạo để thu h&uacute;t đối tượng người d&ugrave;ng tại Mỹ.</p>

<p>Phối hợp với đội ngũ của ch&uacute;ng t&ocirc;i để đảm bảo th&ocirc;ng điệp quảng c&aacute;o ph&ugrave; hợp với ứng dụng.</p>

<p>Quyền lợi:</p>

<p>Cơ hội hợp t&aacute;c l&acirc;u d&agrave;i với ứng dụng s&aacute;ng tạo</p>
"
3048,Làm 01 video giới thiệu công ty ngắn + 01 video giới thiệu dịch vụ,"<p>Cần đối t&aacute;c x&acirc;y dựng 2 video:</p>

<p>- 01 video giới thiệu nhanh c&ocirc;ng ty (30s)</p>

<p>+ Dựa tr&ecirc;n mong muốn v&agrave; c&aacute;c nội dung doanh nghiệp muốn triển khai để l&ecirc;n idea</p>

<p>+ Quay chụp th&ecirc;m nguy&ecirc;n liệu cho video</p>

<p>+ Dựng v&agrave; trả video ho&agrave;n chỉnh độ ph&acirc;n giải 2K trở l&ecirc;n</p>

<p>- 01 video giới thiệu dịch vụ (60s)</p>

<p>+ Cần trao đổi off để hiểu r&otilde; chức năng của sản phẩm (phần mềm quản l&yacute; kho h&agrave;ng)</p>

<p>+ Dựng animation để kh&aacute;ch h&agrave;ng hiểu được chức năng sản phẩm</p>

<p>+ Độ ph&acirc;n giải 2K trở l&ecirc;n</p>
",1035,1,1,"<p>C&oacute; kinh nghiệm l&agrave;m dự &aacute;n tương tự</p>
"
3049,Xử lý khôi phục tài khoản bán hàng thương mại điện tử,"<p>Li&ecirc;n hệ đội ngũ chăm s&oacute;c kh&aacute;ch h&agrave;ng để xử l&yacute; kh&ocirc;i phục t&agrave;i khoản bản h&agrave;ng online</p>
",1035,1,1,"<p>+ C&oacute; m&aacute;y t&iacute;nh, laptop</p>

<p>+ Bi&ecirc;t tiếng anh giao tiếp để thực hiện live chat hoặc call support</p>
"
3050,Dịch hợp đồng kinh tế từ tiếng Việt ra tiếng Anh,"<p>Cần tuyển một bạn c&oacute; kinh nghiệm dịch thuật để dịch hợp đồng kinh tế từ tiếng Việt ra tiếng Anh.</p>
",1038,2,1,"<p>Y&ecirc;u cầu c&oacute; bằng đại học chuy&ecirc;n ng&agrave;nh tiếng Anh hoặc chứng chỉ tiếng Anh TOEFL, IELTS, TOEIC, CEFR...</p>
"
3051,Chụp ảnh món ăn nhà hàng ,"<p>Chụp h&igrave;nh 35 m&oacute;n ăn, mỗi m&oacute;n 2 g&oacute;c kh&aacute;c nhau</p>

<p>Chụp cận cảnh, y&ecirc;u cầu sắc n&eacute;t, m&agrave;u l&agrave;m m&oacute;n ăn hấp dẫn để l&agrave;m menu</p>
",1035,1,2,"<p>Nhiếp ảnh &iacute;t nhất 3 năm</p>
"
3052,LÀM VIỆC CHO WEBSITE LIKE SUB CÁC DỊCH VỤ MẠNG,"<p>Li&ecirc;n hệ để biết nội dung</p>
",1035,2,1,"<p>kh&ocirc;ng y&ecirc;u cầu kinh nghiệm thu nhập dựa tr&ecirc;n lượng sản phẩm b&aacute;n ra k&egrave;m theo hoa hồng</p>
"
3053,Unity Developer Needed for Game Fixes,"<p>I own a game currently running on Unity version 2017, and I need a Unity game developer to help me with the following tasks:</p>

<p>- Upgrade the project to Unity version 2020</p>

<p>- Fix issues with Ads not displaying</p>

<p>- Fix issues with Facebook login permissions not being granted</p>

<p>- Fix compatibility issues with external packages integrated into the project</p>
",1030,2,1,"<p>The project uses Spine 2D, so a developer with experience in Spine 2D is required.</p>
"
3054,Code bot Telegram ,"<p>T&ocirc;i muốn 1 con bot telegram th&ocirc;ng b&aacute;o cho t&ocirc;i giao dịch mới từ 1 địa chỉ v&iacute; tr&ecirc;n solscan.io</p>

<p>V&iacute; dụ : V&iacute; A chuyển 10 sol tới v&iacute; B, ngay lập tức bot telegram th&ocirc;ng b&aacute;o cho t&ocirc;i địa chỉ v&iacute; B đ&oacute; v&agrave; cho ph&eacute;p t&ocirc;i click v&agrave;o địa chỉ v&iacute; để copy lu&ocirc;n</p>

<p>V&agrave; t&ocirc;i muốn tự sửa được v&iacute; A v&agrave; số tiền chuyển</p>
",1030,1,2,"<p>Kinh nghiệm 2 năm</p>
"
3055,"Xây dựng kênh thương hiệu: Facebook fanpage, Insta, Pinterest","<p>&nbsp;- l&ecirc;n kế hoạch x&acirc;y dựng c&aacute;c k&ecirc;nh: fanpage, instagram, pinterest với đối tượng người xem l&agrave; kh&aacute;ch nước ngo&agrave;i (cụ thể UK)</p>

<p>- thực hiện kế hoạch đề ra</p>

<p>- b&aacute;o c&aacute;o về c&aacute;c th&ocirc;ng số kết quả khi x&acirc;y dựng k&ecirc;nh</p>
",3,2,1,"<p>hai năm kinh nghiệm với lĩnh vực tương đương</p>
"
3056,Nhân Viên Content Facebook thú cưng,"<p>Cần 1 bạn viết content đăng Facebook. Số lượng khoảng 15 b&agrave;i viết/th&aacute;ng c&oacute; chỉnh ảnh. Spam c&aacute;c group tr&ecirc;n group li&ecirc;n quan đến th&uacute; cưng</p>
",1038,2,1,"<p>Kh&ocirc;ng y&ecirc;u cầu kinh nghiệm</p>
"
3057,Quảng cáo google cho lớp học làm bánh,"<p>The flour cần tuyển 1 bạn c&oacute; kinh nghiệm gg ads hỗ trợ quảng c&aacute;o lớp học l&agrave;m b&aacute;nh</p>
",1034,1,2,"<p>một năm kinh nghiệm</p>
"
3058,Chạy VPS quốc tế tăng giờ xem youtube,"<p>Hiện tại b&ecirc;n m&igrave;nh đang c&oacute; dự &aacute;n quốc tế mảng Youtube , cần chạy 8000 giờ xem trong 10 ng&agrave;y.</p>
",1035,2,1,"<p>- Am hiểu chạy VPS quốc tế (ưu ti&ecirc;n VPS Us, Uk, Trung đ&ocirc;ng)</p>

<p>- Am hiểu thuật to&aacute;n của Youtube, Google</p>

<p>- Share link, viết b&agrave;i</p>

<p>- Seeding tiếng anh (c&oacute; thể d&ugrave;ng AI để seeding nhưng phải giống người thật)</p>

<p>Bạn n&agrave;o thấy thực lực của m&igrave;nh đủ y&ecirc;u cầu th&igrave; nhắn tin trực tiếp cho m&igrave;nh. Cảm ơn!</p>
"
3059,Thiết kế theo văn bản có sẵn,"<p>M&igrave;nh sẽ đưa mẫu cho c&aacute;c bạn chỉ cần l&agrave;m như mẫu l&agrave; được</p>
",1038,2,1,"<p>ch&iacute;nh x&aacute;c v&agrave; chỉnh chu</p>
"
3060,Nhân Viên Content Marketing Remote – Admin bóng đá,"<p>&bull; X&acirc;y dựng, quản l&yacute; nội dung tr&ecirc;n Fanpage, Telegram, Tiktok, Youtube của c&ocirc;ng ty (bao gồm chữ v&agrave; h&igrave;nh ảnh) theo định hướng c&oacute; sẵn</p>

<p>&bull; Tham gia c&ugrave;ng team x&acirc;y dựng v&agrave; quản l&yacute; c&aacute;c chiến dịch Marketing, đ&oacute;ng g&oacute;p c&aacute;c &yacute; tưởng nội dung s&aacute;ng tạo cho chiến dịch Digital Marketing.</p>

<p>&bull; Ưu ti&ecirc;n ứng vi&ecirc;n đ&atilde; c&oacute; kinh nghiệm l&agrave;m admin c&aacute;c page b&oacute;ng đ&aacute; lớn</p>
",1034,2,1,"<p>&bull; C&oacute; kỹ năng viết b&agrave;i quảng c&aacute;o, quản l&yacute; cộng đồng.</p>

<p>&bull; Sử dụng th&agrave;nh thạo vi t&iacute;nh văn ph&ograve;ng.</p>

<p>&bull; Đ&atilde; c&oacute; kinh nghiệm x&acirc;y dựng hoặc quản trị page, Telegram channel từ 1 năm, với c&aacute;c vị tr&iacute; tương đương: Content Viral, Content Creator</p>

<p>&bull; Tiếng Anh đọc hiểu cơ bản</p>

<p>&bull; C&oacute; khả năng tổng hợp th&ocirc;ng tin từ nhiều nguồn kh&aacute;c nhau.</p>

<p>&bull; C&oacute; khả năng thiết kế cơ bản l&agrave; lợi thế</p>
"
